text,author,categories
"Spain is a fascinating mix of people, languages, culture and food, but if there is one thing all Spaniards share, it's a love of food and drink.",Jose Andres,"Food,Love,Culture,People"
"I believe in using words, not fists. I believe in my outrage knowing people are living in boxes on the street. I believe in honesty. I believe in a good time. I believe in good food. I believe in sex.",Bertrand Russell,"Food,Time,Good,Honesty"
Those who have never known the deep intimacy and the intense companionship of mutual love have missed the best thing that life has to give.,Bertrand Russell,"Love,Life,Best,Deep"
"I want to use my connections with coaches, players, celebrities, whomever, and if I can take that friendship and use it to help someone else, I'm going to take advantage of that. I'm not going to apologize for that.",Tim Tebow,"Friendship,Help,Want"
"Marriage, in life, is like a duel in the midst of a battle.",Edmond About,"Marriage,Life,Like"
"If thou must love me, let it be for naught except for love's sake only.",Elizabeth Barrett Browning,"Love,Me,Only"
I've had to learn to fight all my life - got to learn to keep smiling. If you smile things will work out.,Serena Williams,"Life,Work,Smile"
"In the 18th century, people began to adopt the radical new idea that love should be the most fundamental reason for marriage and that young people should be free to choose their marriage partners independently.",Jardine Libaire,"Marriage,Love,Free,People"
"Sometimes I am happy and sometimes not. I am, after all, a human being, you know. And I am glad that we are sometimes happy and sometimes not. You get your wisdom working by having different emotions.",Yoko Ono,"Wisdom,Happy,I Am,Know"
Marriage is not a noun; it's a verb. It isn't something you get. It's something you do. It's the way you love your partner every day.,Barbara De Angelis,"Marriage,Love,Day"
A dog is the only thing on earth that loves you more than you love yourself.,Josh Billings,"Love,Dog,Pet"
"The seat of knowledge is in the head; of wisdom, in the heart. We are sure to judge wrong, if we do not feel right.",William Hazlitt,"Wisdom,Knowledge,Heart"
"Let my skin and sinews and bones dry up, together with all the flesh and blood of my body! I welcome it! But I will not move from this spot until I have attained the supreme and final wisdom.",Buddha,"Wisdom,Together,Body"
"There is only one happiness in this life, to love and be loved.",George Sand,"Love,Life,Happiness,Loved"
"I don't know if I believe in marriage. I believe in family, love and children.",Penelope Cruz,"Marriage,Love,Family,Children"
"True wisdom comes to each of us when we realize how little we understand about life, ourselves, and the world around us.",Socrates,"Life,Wisdom,World,True"
"I will give you a definition of a proud man: he is a man who has neither vanity nor wisdom one filled with hatreds cannot be vain, neither can he be wise.",John Keats,"Wisdom,Wise,Man,Proud"
Any time not spent on love is wasted.,Torquato Tasso,"Love,Time,Love Is"
I honestly think it is better to be a failure at something you love than to be a success at something you hate.,George Burns,"Success,Love,Failure,Hate"
Super-ambitious goals tend to be unifying and energizing to people; but only if they believe there's a chance of success.,Peter Diamandis,"Success,Goals,Believe,People"
"Obviously, if I'm in Argentina, I'm going to have a steak, but I don't love meat, really. I always think about where the food came from and who had to get it.",Julia Stiles,"Food,Love,Think"
Friendship's the wine of life: but friendship new... is neither strong nor pure.,Edward Young,"Friendship,Life,Strong,Wine"
"In every aspect of my life, I live under the protection of and in accordance to the laws of this nation. At the end of the day, it's a wildlife biological fact and a conservation fact that the game must be managed. There's only so much habitat, i.e. food, out there.",Shawn Michaels,"Food,Life,Day,End"
No man is a failure who is enjoying life.,William Feather,"Failure,Life,Man"
I wonder how many times people give up just before a breakthrough - when they are on the very brink of success.,Joyce Meyer,"Success,People,Up"
I'd rather attempt to do something great and fail than to attempt to do nothing and succeed.,Robert H. Schuller,"Motivational,Great,Succeed"
"I am a woman in process. I'm just trying like everybody else. I try to take every conflict, every experience, and learn from it. Life is never dull.",Oprah Winfrey,"Learning,Life,Experience,Woman"
"Tokyo would probably be the foreign city if I had to eat one city's food for the rest of my life, every day. It would have to be Tokyo, and I think the majority of chefs you ask that question would answer the same way.",Anthony Bourdain,"Food,Life,Day"
"Success is the result of perfection, hard work, learning from failure, loyalty, and persistence.",Colin Powell,"Failure,Work,Success,Hard Work"
"It's easy to impress me. I don't need a fancy party to be happy. Just good friends, good food, and good laughs. I'm happy. I'm satisfied. I'm content.",Maria Sharapova,"Food,Good,Friends,Happy"
"Sometimes I get extremely disturbed with the things that are written. But you can't do anything about it. As a celebrity, you are putting yourself out there to be judged, and that's fine. I am now learning not to get affected by such things. I am building my career and making choices that I think are right while minding my own business.",Anushka Sharma,"Learning,Business,I Am,Choices"
"A new command I give you: Love one another. As I have loved you, so you must love one another.",Jesus Christ,"Love,Loved,You"
"Every good citizen makes his country's honor his own, and cherishes it not only as precious but as sacred. He is willing to risk his life in its defense and is conscious that he gains protection while he gives it.",Andrew Jackson,"Life,Good,Risk"
May you live as long as you wish and love as long as you live.,Robert A. Heinlein,"Love,Anniversary,Long"
"The Universal Zulu Nation stands to acknowledge wisdom, understanding, freedom, justice, and equality, peace, unity, love, and having fun, work, overcoming the negative through the positive, science, mathematics, faith, facts, and the wonders of God, whether we call him Allah, Jehovah, Yahweh, or Jah.",Afrika Bambaataa,"Love,Positive,Work,Wisdom"
One of the reasons people stop learning is that they become less and less willing to risk failure.,John W. Gardner,"Learning,Failure,Risk,People"
"I like guitar. It just turned out that it's the instrument I learned to play. I have a lot of respect for it, and I'm learning more and more every day. For me, the classic band setup - guitars, drums, bass - will stay fresh forever. I don't know. I'm still into it.",Mac DeMarco,"Learning,Respect,Day,Me"
I think togetherness is a very important ingredient to family life.,Barbara Bush,"Life,Family,Think,Important"
"With every book, you go back to school. You become a student. You become an investigative reporter. You spend a little time learning what it's like to live in someone else's shoes.",John Irving,"Learning,Time,School,Book"
"The first thing to be said about 'Prague Winter,' former Secretary of State Madeleine Albright's new book, is that she very wisely chooses to confront early on in it her apparent surprise at learning late in life that she was born Jewish.",Michael Korda,"Learning,Life,Book"
"I realized that I was afraid to really, really try something, 100%, because I had never reached true failure.",Trent Reznor,"Failure,True,Try"
Children love and want to be loved and they very much prefer the joy of accomplishment to the triumph of hateful failure. Do not mistake a child for his symptom.,Erik Erikson,"Failure,Love,Children,Joy"
"Don't flatter yourselves that friendship authorizes you to say disagreeable things to your intimates. On the contrary, the nearer you come into relation with a person, the more necessary do tact and courtesy become.","Oliver Wendell Holmes, Sr.","Friendship,You,Person"
"Wars and elections are both too big and too small to matter in the long run. The daily work - that goes on, it adds up.",Barbara Kingsolver,"Life,Work,Daily,Small"
We at Chrysler borrow money the old-fashioned way. We pay it back.,Lee Iacocca,"Finance,Money,Way"
"Now you can get artisanal everything - pickles, coffees, house-cured meats, mustard. The pendulum has swung back to this kind of food, and it gives me the greatest hope for the future, especially because we're living in a time with issues like polluted Gulf Coast seafood and food labeled organic that may not really be organic.",Adam Richman,"Food,Time,Hope,Future"
What people actually refer to as research nowadays is really just Googling.,Dermot Mulroney,"Learning,People,Just"
Success is the only motivational factor that a boy with character needs.,Woody Hayes,"Success,Motivational,Character"
"In the long run, with profits from piracy greater than international finance mobilised to solve the problem, we can expect piracy to increase geographically and in sophistication.",Peter Middlebrook,"Finance,Problem,Long"
The comfortable estate of widowhood is the only hope that keeps up a wife's spirits.,John Gay,"Marriage,Hope,Wife,Up"
Love is the attempt to form a friendship inspired by beauty.,Marcus Tullius Cicero,"Love,Friendship,Beauty,Love Is"
What I particularly like about Broadway is the camaraderie and the friendship of other people in other shows. Everybody knows you're opening and cares about you. There's a real village atmosphere.,Ian Mckellen,"Friendship,People,You"
People are the key to success or extraordinary success.,Azim Premji,"Success,People,Key"
"If one advances confidently in the direction of his dreams, and endeavors to live the life which he has imagined, he will meet with a success unexpected in common hours.",Henry David Thoreau,"Success,Life,Dreams"
"As far as luxury goes, about the only thing I do is... I go first class all the way. I live on the road, so when I'm out there, I'm getting the nice hotel suite, I'm getting the luxury car, I'm eating the good food, and I make sure I take care of myself on the road.",Trish Stratus,"Food,Good,Myself"
"Old age is like everything else. To make a success of it, you've got to start young.",Theodore Roosevelt,"Success,Age,Start"
"People are more comfortable learning about wine because now they can just Google, you know, 'Soave,' and say, 'Oh, O.K., cool.'",Gary Vaynerchuk,"Learning,Wine,People"
What sort of job can you hold in America in which it is safe to hold the personal conviction that same-sex marriage is wrong? The answer: there is no such job. Except Democratic presidential candidate in 2008. Then you're fine.,Ben Shapiro,"Marriage,America,Job,You"
A happy life is one which is in accordance with its own nature.,Lucius Annaeus Seneca,"Life,Nature,Happy"
"Marriage, for a woman at least, hampers the two things that made life to me glorious - friendship and learning.",Jane Harrison,"Marriage,Life,Friendship,Learning"
"I am not a stickler for Indian food, but by the third day or so I start looking for something familiar to eat. I have travelled a lot, and I always try out local food.",Shaan,"Food,Day,I Am,Start"
Learning how to learn is the most precious thing we have in life.,John Naisbitt,"Learning,Life,Learn"
I don't think men are that attracted by glamour. I think women are attracted by glamour. I think men are attracted by a sense of friendship.,Joanna Lumley,"Friendship,Women,Men,Think"
Rich people without wisdom and learning are but sheep with golden fleeces.,Solon,"Learning,Wisdom,People"
The toughest thing about success is that you've got to keep on being a success.,Irving Berlin,"Success,You,Success Is,Being"
"It doesn't matter whether you are pursuing success in business, sports, the arts, or life in general: The bridge between wishing and accomplishing is discipline.",Harvey Mackay,"Life,Success,Business,Sports"
"Imagine all the people living life in peace. You may say I'm a dreamer, but I'm not the only one. I hope someday you'll join us, and the world will be as one.",John Lennon,"Life,Hope,Peace,World"
"In a deeply tribal sense, we love our monsters, and I think that is the key to it right there. It is monsters; it is learning about them: it is both thrill and safety. You can think of them without being desperately afraid because they are not going to come into your living room and eat you. That is 'Jaws.'",Peter Benchley,"Learning,Love,Think"
Once you label me you negate me.,Soren Kierkegaard,"Wisdom,Me,You"
"Past success is no guarantee of future success, so I have learned to be an entrepreneur. I began to produce and direct my own projects.",Ian Ziering,"Success,Future,Past"
"A man reserves his true and deepest love not for the species of woman in whose company he finds himself electrified and enkindled, but for that one in whose company he may feel tenderly drowsy.",George Jean Nathan,"Love,Man,Woman"
An unschooled man who knows how to meditate upon the Lord has learned far more than the man with the highest education who does not know how to meditate.,Charles Stanley,"Learning,Education,Man,Know"
"You and I come by road or rail, but economists travel on infrastructure.",Margaret Thatcher,"Finance,Travel,You"
I don't really consider myself to be a personal finance expert compared with some others. There are quite a few that know a lot more than I do.,Ben Stein,"Finance,Myself,Know"
"What we now call 'finance' is, I hold, an intellectual perversion of what began as warm human love.",Robert Graves,"Finance,Love,Human"
"Around the time I graduated from high school, I decided better to underachieve and have friendship than to overachieve and be alone.",Evangeline Lilly,"Friendship,Time,School,Alone"
Start with God - the first step in learning is bowing down to God; only fools thumb their noses at such wisdom and learning.,King Solomon,"Learning,Wisdom,God,Step"
"I had more energy at 50. On the other hand, at 75, I've probably got a little more wisdom and good judgment than I had at 50 because I've got more experience. But I haven't really changed. I'm still driven by the same philosophy.",Ted Turner,"Wisdom,Good,Experience,Philosophy"
I support gay marriage. I believe they have a right to be as miserable as the rest of us.,Kinky Friedman,"Marriage,Support,Believe,Gay"
More power than all the success slogans ever penned by human hand is the realization for every man that he has but one boss. That boss is the man - he - himself.,Gabriel Heatter,"Success,Power,Man"
"Nature is a dream state at this point, that we almost don't have a real relationship to it unless it's people living off the land and killing our own food and going for it.",Catherine Opie,"Food,Nature,Relationship,People"
"Of course, Third World leaders love you. By ascribing third world ills to First World sins, you absolve them of blame for their countries' failure to advance.",John McCarthy,"Failure,Love,World"
"Perhaps my problem in marriage - and it is the problem of many women - was to want both intimacy and independence. It is a difficult line to walk, yet both needs are important to a marriage.",Hedy Lamarr,"Marriage,Women,Problem"
"I think my whole life, because of where I came from, I had a fear of failure.",Howard Schultz,"Failure,Life,Fear,Think"
"Love is like a friendship caught on fire. In the beginning a flame, very pretty, often hot and fierce, but still only light and flickering. As love grows older, our hearts mature and our love becomes as coals, deep-burning and unquenchable.",Bruce Lee,"Friendship,Love,Light,Love Is"
"Often the magical elements in my books are standing in for elements of the real world, the small and magical-in-their-own-right sorts of things that we take for granted and no longer pay attention to, like the bonds of friendship that entwine our own lives with those of other people and places.",Charles de Lint,"Friendship,World,Small,People"
"Of all the things which wisdom provides to make us entirely happy, much the greatest is the possession of friendship.",Epicurus,"Friendship,Wisdom,Happy,Greatest"
"I was never against marriage per se. Before feminism, I didn't think you had any choice. In fact, for a long time I always assumed I would get married. I just didn't see any marriages I wanted to emulate, so I kept putting it off.",Gloria Steinem,"Marriage,Time,Think"
"When we looked at the life cycle in our 40s, we looked to old people for wisdom. At 80, though, we look at other 80-year-olds to see who got wise and who not. Lots of old people don't get wise, but you don't get wise unless you age.",Erik Erikson,"Wisdom,Life,Age,Wise"
"It will give them the opportunity to show themselves worthy of the respect and friendship of peace-loving nations, and in time, to take an honorable place among members of the United Nations.",James F. Byrnes,"Friendship,Respect,Time,Opportunity"
Life is a game and true love is a trophy.,Rufus Wainwright,"Love,Life,Love Is"
"'Tis love that makes the world go round, my baby.",Charles Dickens,"Love,World,Go"
"I don't turn to greeting cards for wisdom and advice, but they are a fine reflection of the general drift of the culture.",Susan Orlean,"Wisdom,Culture,Advice"
Most vegetarians look so much like the food they eat that they can be classified as cannibals.,Finley Peter Dunne,"Food,Look,Eat"
Learning to live for others isn't something that just comes naturally to anybody. You have to train yourself to do it.,Joyce Meyer,"Learning,Yourself,You"
"With everything that is complex, we learn. If you don't learn, then it's an utter and abject failure. If you do learn, and you're able to apply that to the next situation, then you take away a measure of success.",Ben Carson,"Failure,Success,Measure,Learn"
Some wisdom you must learn from one who's wise.,Euripides,"Wisdom,Wise,Learn,You"
Our happiness depends on wisdom all the way.,Sophocles,"Wisdom,Happiness,Way"
For small creatures such as we the vastness is bearable only through love.,Carl Sagan,"Love,Small,Only"
I constantly experience failure in that my work is never as good as I want it to be. So I live with failure.,Jeremy Irons,"Failure,Work,Good,Experience"
"When a film is successful, you don't need to shout about it from the rooftops. I don't believe in going into overdrive. There's no desperation to be acknowledged as the reason for a film's success.",Emraan Hashmi,"Success,Believe,Successful,You"
"Acceptable food rots while we are chased from bins behind restaurants, chased from sleeping on the street, chased from relieving ourselves unless we pay for food or gas, until finally we are so hungry, sleepless, smelly, constipated and beaten-down that we simply die of lack of will to live.",Jane Siberry,"Food,Live,Die"
"The very nature of finance is that it cannot be profitable unless it is significantly leveraged... and as long as there is debt, there can be failure and contagion.",Alan Greenspan,"Failure,Nature,Finance,Long"
"Every day is a new opportunity. You can build on yesterday's success or put its failures behind and start over again. That's the way life is, with a new game every day, and that's the way baseball is.",Bob Feller,"Life,Success,Sports,Day"
I'm getting to a point where everything is becoming streamlined in my life. I'm learning how to stand onstage for two hours and play in front of thousands of people as if I am completely in the moment every moment.,John Mayer,"Learning,Life,I Am,People"
"God proved His love on the Cross. When Christ hung, and bled, and died, it was God saying to the world, 'I love you.'",Billy Graham,"Love,I Love You,God,World"
"And we want to develop our strategy to partnership and friendship with the United States, which is connected with a very rich history but what is very important for our future.",Aleksander Kwasniewski,"Friendship,History,Future"
"You can give without loving, but you can never love without giving.",Robert Louis Stevenson,"Love,Giving,You,Loving"
"How marriage ruins a man! It is as demoralizing as cigarettes, and far more expensive.",Oscar Wilde,"Marriage,Man,More"
